log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
28,0,43.684330,-72.233411,43.684296,-72.233283,0.010000,0.030000,1.570000,0.000000,10.000000,2.562399,1.475474,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,1.572628,-0.445737,10.916206,1.570000,0.000000,10.000000,0.000000,0.000000,0.200556,-0.020589,1.921212,0.502470,22.330000,0.046000 
29,0,43.684330,-72.233411,43.684296,-72.233283,0.010000,0.030000,1.570000,0.000000,10.000000,2.562399,1.476475,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,1.572628,-0.444737,10.916206,1.570000,0.000000,10.000000,0.000000,0.000000,0.197311,-0.023307,1.921212,0.501477,22.330000,0.046000 
30,0,43.684330,-72.233411,43.684296,-72.233283,0.010000,0.030000,1.570000,0.000000,10.000000,2.562399,1.476475,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,1.572628,-0.444737,10.916206,1.570000,0.000000,10.000000,0.000000,0.000000,0.197747,-0.023307,1.921212,0.501477,22.330000,0.046000 
31,0,43.684330,-72.233410,43.684296,-72.233284,0.010000,0.030000,1.570000,0.000000,10.000000,2.563623,1.477967,0.000000,-0.010000,0.000000,0.010000,0.010000,0.020000,1.572640,-0.452075,10.848900,1.570000,0.000000,10.000000,0.000000,0.000000,0.200491,-0.018171,1.930041,0.501462,22.295000,0.036000 
32,0,43.684330,-72.233410,43.684296,-72.233284,0.010000,0.030000,1.570000,0.000000,10.000000,2.563623,1.477967,0.000000,-0.010000,0.000000,0.010000,0.010000,0.020000,1.572640,-0.452075,10.848900,1.570000,0.000000,10.000000,0.000000,0.000000,0.198379,-0.021595,1.930041,0.501471,22.295000,0.036000 
33,0,43.684330,-72.233410,43.684295,-72.233285,0.010000,0.040000,1.570000,0.000000,10.000000,2.563623,1.479717,0.000000,-0.010000,0.000000,0.010000,0.000000,0.020000,1.573580,-0.456108,10.778023,1.570000,0.000000,10.000000,0.000000,0.000000,0.198531,-0.016166,1.935824,0.502471,22.295000,0.036000 
34,0,43.684330,-72.233410,43.684295,-72.233285,0.010000,0.040000,1.570000,0.000000,10.000000,2.563623,1.479717,0.000000,0.000000,0.000000,0.010000,0.000000,0.020000,1.573580,-0.456108,10.778023,1.570000,0.000000,10.000000,0.000000,0.000000,0.198020,-0.019779,1.935824,0.501983,22.295000,0.036000 
35,0,43.684330,-72.233410,43.684295,-72.233286,0.010000,0.060000,1.570000,0.000000,10.000000,2.563623,1.480312,0.000000,0.000000,0.000000,0.010000,0.000000,0.020000,1.575473,-0.459705,10.692023,1.570000,0.000000,10.000000,0.000000,0.000000,0.197154,-0.013179,1.940018,0.503983,22.295000,0.036000 
36,0,43.684330,-72.233410,43.684295,-72.233286,0.010000,0.060000,1.570000,0.000000,10.000000,2.563623,1.480312,0.000000,0.000000,0.000000,0.010000,0.000000,0.020000,1.575473,-0.459705,10.692023,1.570000,0.000000,10.000000,0.000000,0.000000,0.197181,-0.017566,1.940018,0.503007,22.295000,0.036000 
37,0,43.684330,-72.233410,43.684295,-72.233286,0.010000,0.060000,1.570000,0.000000,10.000000,2.564603,1.480312,0.000000,0.000000,0.000000,0.010000,0.000000,0.020000,1.575473,-0.459705,10.692023,1.570000,0.000000,10.000000,0.000000,0.000000,0.197181,-0.017566,1.940018,0.503007,22.295000,0.036000 
38,0,43.684330,-72.233410,43.684295,-72.233287,0.010000,0.050000,1.570000,0.000000,10.000000,2.564603,1.480312,0.000000,0.000000,0.000000,-0.010000,-0.020000,0.020000,1.574556,-0.463837,10.640102,1.570000,0.000000,10.000000,0.000000,0.000000,0.198322,-0.013630,1.944149,0.501972,22.286000,0.041000 
39,0,43.684330,-72.233411,43.684295,-72.233287,0.010000,0.050000,1.570000,0.000000,10.000000,2.564603,1.480312,-0.010000,-0.010000,0.000000,-0.010000,-0.020000,0.020000,1.574537,-0.461916,10.692533,1.570000,0.000000,10.000000,0.000000,0.000000,0.197809,-0.020257,1.942229,0.502502,22.286000,0.041000 
40,0,43.684330,-72.233411,43.684295,-72.233288,0.010000,0.040000,1.570000,0.000000,10.000000,2.565816,1.481492,-0.010000,-0.010000,0.000000,-0.020000,0.010000,0.020000,1.573612,-0.464325,10.655683,1.570000,0.000000,10.000000,0.000000,0.000000,0.198312,-0.014804,1.945817,0.501464,22.324000,0.026000 
41,0,43.684330,-72.233412,43.684295,-72.233288,0.010000,0.040000,1.570000,0.000000,10.000000,2.569618,1.481492,0.000000,-0.010000,-0.010000,-0.020000,0.010000,0.020000,1.573600,-0.462673,10.700593,1.570000,0.000000,10.000000,0.000000,0.000000,0.198208,-0.020094,1.944166,0.501983,22.239000,0.038000 
42,0,43.684330,-72.233412,43.684295,-72.233289,0.010000,0.030000,1.570000,0.000000,10.000000,2.572901,1.481617,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,1.572672,-0.468357,10.664562,1.570000,0.000000,10.000000,0.000000,0.000000,0.200808,-0.015082,1.949974,0.500951,22.337000,0.040000 
43,0,43.684330,-72.233413,43.684295,-72.233289,0.010000,0.030000,1.570000,0.000000,10.000000,2.573969,1.481617,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,1.572662,-0.462967,10.719601,1.570000,0.000000,10.000000,0.000000,0.000000,0.197296,-0.021106,1.944584,0.501468,22.285000,0.042000 
44,0,43.684329,-72.233415,43.684294,-72.233289,0.010000,0.010000,1.570000,0.000000,10.000000,2.574945,1.481315,0.000000,-0.010000,0.000000,0.010000,-0.010000,0.020000,1.570796,-0.458245,10.827951,1.570000,0.000000,10.000000,0.000000,0.000000,0.199576,-0.026631,1.939560,0.499435,22.262000,0.038000 
